record_id,phytoplasma,host_group,country,reference,family,species
515,16SrV C,insect,Austria,Reisenzein & Strauß 2013,Psyllidae,Psylla alni
516,16SrV C,insect,Austria,Reisenzein & Strauß 2013,Cicadellidae,Phlogotettix cyclops
517,16SrV D,insect,Austria,Reisenzein & Strauß 2013,Cixiidae,Cixius nervosus
518,tested negative,insect,Austria,Reisenzein & Strauß 2013,Delphacidae,Asiraca clavicornis
519,tested negative,insect,Austria,Reisenzein & Strauß 2013,Dictyopharidae,Dictyophara europaea
520,tested negative,insect,Austria,Reisenzein & Strauß 2013,Cicadellidae,Jassargus distinguendus
521,16SrI A,insect,Vilniaus,Valiunas et al 2017,Delphacidae,Stenocranus minutus
522,16SrI ,insect,Canada,Chiykowski 1962,Cicadellidae,Macrosteles fascifrons
523,16SrI C,insect,Canada,Chiykowski 1961,Cicadellidae,Aphrodes bicinctus
524,16SrI C,insect,Canada,Chiykowski 1962,Cicadellidae,Scaphytopius acutus
525,16SrI C,insect,Czech Republic,Musil 1961,Cicadellidae,Euscelis incisa
526,16SrV C,insect,Piemonte,Lessio et al 2016,Cicadellidae,Orientus ishidae
527,16SrII ,insect,Oman,Khan et al 2002,Cicadellidae,Agallia sp.
528,16SrII ,insect,Oman,Khan et al 2002,Cicadellidae,Empoasca sp.
529,16SrII D,insect,Iran,Salehi et al 2016,Cicadellidae,Orosius orientalis
530,16SrII C,insect,Iran,Salehi et al 2016,Cicadellidae,Orosius orientalis
531,tested negative,insect,Yazd,Mirzaie et al 2007,Cicadellidae,Anaceratagallia laevis
532,tested negative,insect,Yazd,Mirzaie et al 2007,Cicadellidae,Empoasca sp.
533,16SrII B,insect,Iran,Salehi et al 2007,Cicadellidae,Hishimonus phycitis
534,tested negative,insect,Iran,Salehi et al 2002,Cicadellidae,Hishimonus phycitis
535,16SrII ,insect,Iran,Bove et al 1993,Cicadellidae,Hishimonus phycitis
536,16SrIV ,insect,Madang,Lu et al 2016,Lophopidae,Lophops saccharicida
537,16SrIV ,insect,Madang,Lu et al 2016,Lophopidae,Zophiuma pupillata
538,16SrIV ,insect,Madang,Lu et al 2016,Ricaniidae,species 1
