record_id,phytoplasma,host_group,country,reference,family,species
1415,16SrVII B,plant,Brazil,Barros et al 2002,Asteraceae,Conyza bonariensis
1416,16SrVII A,plant,Colombia,Gri?ths et al 2001,Oleaceae,Fraxinus chinensis
1417,16SrVII B,plant,Argentina,Meneguzzi et al 2008,Asteraceae,Conyza bonariensis
1418,16SrVII B,plant,Argentina,Meneguzzi et al 2008,Asteraceae,Artemisa annua
1419,16SrVII C,plant,Argentina,Fernandez et al 2013b,Rosaceae,Fragaria x ananassa
1420,16SrIII B,plant,Paraguay,Arneodo et al 2005,Meliaceae,Melia azedarach
1421,16SrXIII ,plant,Paraguay,Arneodo et al 2005,Meliaceae,Melia azedarach
1422,16SrVII A,plant,Chile,Arismendi et al 2010,Myrtaceae,Ugni molinae
1423,16SrVII A,plant,Chile,Arismendi et al 2011,Paeoniaceae,Paeonia lactiflora
1424,16SrIII J,plant,Chile,Gonzalez et al 2011,Rosaceae,Prunus avium
1425,16SrI B,plant,Chile,Fiore et al 2007,Vitaceae,Vitis vinifera
1426,16SrI C,plant,Chile,Fiore et al 2007,Vitaceae,Vitis vinifera
1427,16SrVII A,plant,Chile,Fiore et al 2007,Vitaceae,Vitis vinifera
1428,16SrXII A,plant,Chile,Fiore et al 2007,Vitaceae,Vitis vinifera
1429,16SrI B,plant,South Africa,Engelbrecht et al 2010,Vitaceae,Vitis vinifera
1430,16SrII B,plant,South Africa,Botti & Bertaccini 2006,Vitaceae,Vitis vinifera
1431,16SrXII A,plant,South Africa,Botti & Bertaccini 2006,Vitaceae,Vitis vinifera
1432,16SrX ,plant,Croatia,Saric & Cvjetkovic 1985,Rosaceae,Malus domestica
1433,16SrXII ,plant,Croatia,Krizanac et al 2010,Rosaceae,Pyrus communis
1434,16SrX B,plant,Croatia,Krizanac et al 2010,Rosaceae,Prunus sp.
1435,16SrX C,plant,Croatia,Krizanac et al 2010,Rosaceae,Pyrus communis
1436,16SrX A,plant,Croatia,Krizanac et al 2017,Rosaceae,Malus domestica
1437,16SrX B,plant,Turkey,Caglayan et al 2011,Rosaceae,Prunus armeniaca
1438,16SrX B,plant,Turkey,Caglayan et al 2011,Rosaceae,Prunus domestica
1439,16SrX B,plant,Turkey,Caglayan et al 2011,Rosaceae,Prunus dulcis
1440,16SrX B,plant,Turkey,Caglayan et al 2011,Rosaceae,Prunus persicae
1441,16SrX ,plant,Turkey,Caglayan et al 2013,Rosaceae,Prunus avium
1442,16SrX C,plant,Turkey,Caglayan et al 2013,Rosaceae,Pyrus communis
1443,16SrI B,plant,Turkey,Gazel et al 2015,Lythraceae,Punica granatum
1444,16SrXII A,plant,Turkey,Gazel et al 2015,Lythraceae,Punica granatum
1445,16SrV B,plant,Italy,Seemuller et al 1998,Oleaceae,Olea europaea
1446,16SrV ,plant,Italy,Bertaccini et al 1995,Rosaceae,Rubus fruticosus
1447,16SrX ,plant,Buckinghamshire,Davies 2000,Rosaceae,Rubus loganobaccus
1448,16SrV ,plant,Buckinghamshire,Davies 2000,Rosaceae,Rubus hybrid
1449,16SrV ,plant,Kent,Davies 2000,Rosaceae,Rubus occidentalis
1450,not characterized ,plant,France,Murrant & Roberts 1971,Rosaceae,Rubus fruticosus
1451,not characterized ,plant,United Kingdom,Murrant & Roberts 1971,Rosaceae,Rubus loganobaccus
1452,not characterized ,plant,Russia,Murrant & Roberts 1971,Rosaceae,Rubus idaeus
1453,not characterized ,plant,Italy,Marani et al 1977,Rosaceae,Rubus fruticosus
1454,16SrV ,plant,Germany,Maurer & Seemuller 1994,Rosaceae,Rubus idaeus
1455,16SrV ,plant,France,Maurer & Seemuller 1994,Rosaceae,Rubus caesius
1456,not characterized ,plant,Oregon,Converse et al 1982,Rosaceae,Rubus occidentalis
1457,not characterized ,plant,Israel,Klein et al 1976,Rosaceae,Rubus sanguineus
1458,16SrIII Q,plant,Oregon,Davis et al 2001,Rosaceae,Rubus occidentalis
1459,16SrI ,plant,Pakistan,Fahmeed et al 2009,Anacardiaceae,Mangifera indica
1460,16SrI ,plant,Pakistan,Fahmeed et al 2009,Rutaceae,Citrus sp.
1461,16SrI ,plant,Pakistan,Fahmeed et al 2009,Rosaceae,Rubus fruticosus
1462,16SrI ,plant,Pakistan,Fahmeed et al 2009,Rosaceae,Eriobotrya japonica
1463,tested negative,plant,Pakistan,Fahmeed et al 2009,Brassicaceae,Raphanus sativus
1464,tested negative,plant,Pakistan,Fahmeed et al 2009,Malvaceae,Abelmoschus esculentus
1465,tested negative,plant,Pakistan,Fahmeed et al 2009,Rosaceae,Malus domestica
1466,tested negative,plant,Pakistan,Fahmeed et al 2009,Myrtaceae,Psidium guajava
1467,tested negative,plant,Pakistan,Fahmeed et al 2009,Passifloraceae,Passi?ora sp.
1468,tested negative,plant,Pakistan,Fahmeed et al 2009,Lauraceae,Persea americana
1469,tested negative,plant,Pakistan,Fahmeed et al 2009,Cucurbitaceae,Cucurbita moschata
1470,tested negative,plant,Pakistan,Fahmeed et al 2009,Rosaceae,Prunus persicae
1471,tested negative,plant,Pakistan,Fahmeed et al 2009,Cucurbitaceae,Momordica charantia
1472,tested negative,plant,Pakistan,Fahmeed et al 2009,Poaceae,Cynodon dactylon
1473,tested negative,plant,Pakistan,Fahmeed et al 2009,Rutaceae,Citrus paradisi
1474,16SrI ,plant,Pakistan,Fahmeed et al 2009,Apocynaceae,Catharanthus roseus
1475,16SrI ,plant,Pakistan,Fahmeed et al 2009,Geraniaceae,Pelargonium sp.
1476,tested negative,plant,Pakistan,Fahmeed et al 2009,Rosaceae,Rosa indica
1477,16SrI ,plant,Pakistan,Fahmeed et al 2009,Solanaceae,Solanum tuberosum
1478,16SrI ,plant,Pakistan,Fahmeed et al 2009,Brassicaceae,Raphanus raphanistrum
1479,tested negative,plant,Austria,Borroto Fernandez et al 2007,Celastraceae,Euonymus europaea
1480,tested negative,plant,Austria,Borroto Fernandez et al 2007,Rosaceae,Sorbus aucuparia
1481,tested negative,plant,Austria,Borroto Fernandez et al 2007,Oleaceae,Fraxinus excelsior
1482,16SrXII A,plant,Austria,Borroto Fernandez et al 2007,Fagaceae,Fagus sylvatica
1483,tested negative,plant,Austria,Borroto Fernandez et al 2007,Caprifoliaceae,Sambucus nigra
1484,tested negative,plant,Austria,Borroto Fernandez et al 2007,Betulaceae,Betula alba
1485,tested negative,plant,Austria,Borroto Fernandez et al 2007,Rosaceae,Pyrus sp.
1486,tested negative,plant,Austria,Borroto Fernandez et al 2007,Pinaceae,Picea abies
1487,16SrXII A,plant,Austria,Borroto Fernandez et al 2007,Rosaceae,Rubus idaeus
1488,16SrI B,plant,Austria,Borroto Fernandez et al 2007,Rosaceae,Rubus fruticosus
1489,16SrVI ,plant,Austria,Borroto Fernandez et al 2007,Ericaceae,Vaccinium myrtillus
1490,16SrIII ,plant,Germany,Seemuller et al 1998,Ericaceae,Vaccinium myrtillus
1491,16SrV E,plant,Poland,Cieslinska 2011,Rosaceae,Rubus idaeus
1492,16SrI B,plant,Poland,Cieslinska 2011,Rosaceae,Rubus fruticosus
1493,16SrIII ,plant,Poland,Cieslinska 2011,Rosaceae,Rubus loganobaccus
1494,16SrV E,plant,Poland,Cieslinska 2011,Rosaceae,Rubus hybrid
1495,16SrI Q,plant,Lithuania,Valiunas et al 2005,Rosaceae,Prunus cerasus
1496,16SrI B,plant,Lithuania,Valiunas et al 2004,Rosaceae,Pyrus communis
1497,16SrI B,plant,Lithuania,Valiunas et al 2007,Rosaceae,Malus domestica
1498,16SrXII E,plant,Lithuania,Valiunas et al 2006,Rosaceae,Fragaria x ananassa
1499,16SrV E,plant,Lithuania,Valiunas et al 2007,Rosaceae,Rubus idaeus
1500,16SrXII A,plant,Emilia-Romagna,Lee et al 1995b,Rosaceae,Pyrus communis
1501,16SrX A,plant,Emilia-Romagna,Lee et al 1995b,Rosaceae,Pyrus communis
1502,16SrX A,plant,Emilia-Romagna,Lee et al 1995b,Rosaceae,Prunus salicina
1503,16SrX B,plant,Emilia-Romagna,Lee et al 1995b,Rosaceae,Prunus salicina
1504,16SrI B,plant,Emilia-Romagna,Lee et al 1995b,Rosaceae,Prunus salicina
1505,16SrXII A,plant,Emilia-Romagna,Lee et al 1995b,Rosaceae,Prunus persicae
1506,16SrI B,plant,Emilia-Romagna,Lee et al 1995b,Rosaceae,Prunus persicae
1507,16SrI B,plant,Emilia-Romagna,Lee et al 1995b,Rosaceae,Prunus armeniaca
1508,16SrX B,plant,Emilia-Romagna,Lee et al 1995b,Rosaceae,Prunus armeniaca
1509,16SrV ,plant,Italy,Lee et al 1995a,Ulmaceae,Ulmus sp.
1510,16SrI B,plant,Italy,Lee et al 1995a,Ulmaceae,Ulmus sp.
1511,16SrV ,plant,Italy,Lee et al 1995a,Rosaceae,Rubus fruticosus
1512,16SrV E,plant,France,Malembic-Maher et al 2011,Rosaceae,Rubus sp.
1513,16SrV E,plant,Friuli-Venezia Giulia,Malembic-Maher et al 2011,Rosaceae,Rubus fruticosus
1514,16SrXII ,plant,Czech Republic,Mertelik et al 2008,Ericaceae,Rhododendron sp.
1515,16SrVI A,plant,Czech Republic,Pribylova et al 2009,Ericaceae,Rhododendron hybridum
1516,16SrI C,plant,Czech Republic,Pribylova et al 2013,Ericaceae,Rhododendron hybridum
1517,16SrI T,plant,Yunnan,Wei et al 2011,Ericaceae,Rhododendron sp.
1518,16SrII F,plant,Yunnan,Cai et al 2008,Cactaceae,Opuntia sp.
1519,16SrII G,plant,Yunnan,Cai et al 2008,Cactaceae,Opuntia sp.
1520,16SrII H,plant,Yunnan,Cai et al 2008,Cactaceae,Opuntia sp.
1521,16SrII I,plant,Yunnan,Cai et al 2008,Cactaceae,Opuntia sp.
1522,16SrII J,plant,Yunnan,Cai et al 2008,Cactaceae,Opuntia sp.
1523,16SrII K,plant,Yunnan,Cai et al 2008,Cactaceae,Opuntia sp.
1524,16SrII L,plant,Yunnan,Cai et al 2008,Cactaceae,Opuntia sp.
1525,16SrXII A,plant,Bosnia-Herzegovina,Kovacevic et al 2014,Poaceae,Zea mays
1526,16SrXII A,plant,Bosnia-Herzegovina,Kovacevic et al 2014,Poaceae,Sorghum halepense
1527,16SrIX C,plant,Friuli-Venezia Giulia,Martini et al 2012a,Asteraceae,Cichorium intybus
1528,16SrIX C,plant,Lazio,Ferretti et al 2015,Asteraceae,Argyranthemum frutescens
1529,16SrI B,plant,China,Chen et al 2009,Rutaceae,Citrus sinensis
1530,16SrI B,plant,China,Chen et al 2009,Rutaceae,Citrus maxima
1531,16SrI B,plant,China,Chen et al 2009,Rutaceae,Citrus reticulata
1532,16SrIX ,plant,Brazil,Teixeira et al 2008,Rutaceae,Citrus aurantium
1533,16SrIX B,plant,Lebanon,Abou-Jawdah et al 2009,Rosaceae,Prunus persicae
1534,16SrXII A,plant,Piemonte,Alma et al 1996,Vitaceae,Vitis vinifera
1535,16SrI B,plant,Piemonte,Alma et al 1996,Vitaceae,Vitis vinifera
1536,16SrV ,plant,Piemonte,Alma et al 1996,Vitaceae,Vitis vinifera
1537,16SrIII L,plant,Colombia,Alvarez et al 2009,Euphorbiaceae,Manihot esculenta
1538,16SrI B,plant,Emilia-Romagna,Bertaccini et al 2009,Asteraceae,Echinacea purpurea
1539,16SrI C,plant,Emilia-Romagna,Bertaccini et al 2009,Asteraceae,Echinacea purpurea
1540,16SrI C,plant,Emilia-Romagna,Bertaccini et al 2009,Asteraceae,Taraxacum sp.
1541,16SrI C,plant,Emilia-Romagna,Bertaccini et al 2009,Amaranthaceae,Amaranthus sp.
1542,16SrXII ,plant,Syria,Contaldo et a 2011,Vitaceae,Vitis vinifera
1543,16SrVI ,plant,Syria,Contaldo et a 2011,Vitaceae,Vitis vinifera
1544,16SrIX E,plant,Oregon,Davis et al 2010,Cupressaceae,Juniperus occidentalis
1545,16SrV B,plant,China,Jung et al 2003a,Rhamnaceae,Ziziphus jujuba
1546,16SrVIII A,plant,Korea,Jung et al 2003b,Solanaceae,Solanum tuberosum
1547,16SrI B,plant,Chile,Gajardo et al 2009,Vitaceae,Vitis vinifera
1548,16SrI C,plant,Chile,Gajardo et al 2009,Vitaceae,Vitis vinifera
1549,16SrVII A,plant,Chile,Gajardo et al 2009,Vitaceae,Vitis vinifera
1550,16SrXII A,plant,Chile,Gajardo et al 2009,Vitaceae,Vitis vinifera
1551,16SrXII A,plant,Iran,Karimi et al 2009,Vitaceae,Vitis vinifera
1552,16SrVI C,plant,Illinois,Jacobs et al 2003,Ulmaceae,Ulmus americana
1553,16SrXVIII A,plant,Texas,Lee et al 2006,Solanaceae,Solanum tuberosum
1554,16SrI A,plant,Texas,Lee et al 2006,Solanaceae,Solanum tuberosum
1555,16SrXIII A,plant,Nebraska,Lee et al 2006,Solanaceae,Solanum tuberosum
1556,16SrII B,plant,Iran,Mardi et al 2011,Rutaceae,Citrus aurantifolia
1557,16SrVI C,plant,Iran,Salehi et al 2009a,Asteraceae,Carthamus tinctorius
1558,16SrII D,plant,Iran,Salehi & Izadpanah 1992,Pedaliaceae,Sesamum indicum
1559,16SrII C,plant,India,Yadav et al 2015a,Asteraceae,Parthenium hysterophorus
1560,16SrVI A,plant,Washington,Lee et al 2004a,Solanaceae,Solanum tuberosum
1561,16SrI ,plant,Alberta,Khadhair et al 2001,Apiaceae,Pimpinella anisum
1562,16SrI ,plant,Alberta,Hwang et al 1998,Apiaceae,Anthriscus cerefolium
1563,16SrI A,plant,Alberta,Chang et al 2004a,Apiaceae,Bupleurum rotundifolium
1564,16SrI B,plant,Alberta,Chang et al 2004a,Apiaceae,Bupleurum rotundifolium
1565,16SrI B,plant,Alberta,Wang & Hiruki 2005,Apiaceae,Ammi majus
1566,16SrI A,plant,Alberta,Wang & Hiruki 2005,Apiaceae,Ammi majus
1567,16SrI B,plant,Alberta,Wang & Hiruki 2005,Apiaceae,Petroselinum crispum
1568,16SrI A,plant,Alberta,Wang & Hiruki 2005,Apiaceae,Petroselinum crispum
1569,16SrI A,plant,Ontario,Wang & Hiruki 2005,Apiaceae,Daucus carota
1570,16SrI A,plant,Alberta,Wang & Hiruki 2005,Apiaceae,Apium graveolens
1571,16SrI B,plant,Maryland,Seemuller et al 1998,Apocynaceae,Catharanthus roseus
1572,16SrI ,plant,United States,Seemuller et al 1998,Apocynaceae,Catharanthus roseus
1573,16SrI A,plant,Alberta,Wang & Hiruki 2005,Apocynaceae,Catharanthus roseus
1574,16SrIII B,plant,Ontario,Griffiths et al 1994,Apocynaceae,Asclepias syriaca
1575,16SrI A,plant,Alberta,Wang & Hiruki 2005,Asteraceae,Helichrysum bracteatum
1576,16SrI A,plant,Alberta,Wang & Hiruki 2005,Asteraceae,Callistephus chinensis
1577,16SrI B,plant,Alberta,Wang & Hiruki 2005,Asteraceae,Callistephus chinensis
1578,16SrI A,plant,Alberta,Wang & Hiruki 2005,Asteraceae,Dahlia sp.
1579,16SrI A,plant,Alberta,Lee et al 2004b,Asteraceae,Taraxacum officinale
1580,16SrI A,plant,Alberta,Wang & Hiruki 2005,Asteraceae,Echinacea purpurea
1581,16SrI B,plant,Alberta,Wang & Hiruki 2005,Asteraceae,Zinnia elegans
1582,16SrI B,plant,Alberta,Wang & Hiruki 2005,Asteraceae,Chrysanthemum parthenium
1583,16SrI A,plant,Alberta,Wang & Hiruki 2005,Asteraceae,Tagetes patula
1584,16SrI A,plant,Alberta,Wang & Hiruki 2001b,Asteraceae,Cosmos bipinnatus
1585,16SrI A,plant,Alberta,Wang & Hiruki 2005,Asteraceae,Coreopsis tinctoria
1586,16SrI A,plant,United States,Seemuller et al 1998,Asteraceae,Lactuca sativa
1587,16SrII C,plant,Australia,Seemuller et al 1998,Asteraceae,Lactuca sativa
1588,16SrI B,plant,New York,Seemuller et al 1998,Asteraceae,Lactuca sativa
1589,16SrI A,plant,Alberta,Lee et al 2004b,Asteraceae,Lactuca sativa
1590,16SrI A,plant,Alberta,Wang & Hiruki 2005,Asteraceae,Rudbeckia fulgida
1591,16SrI ,plant,Ontario,McCoy et al 1989,Asteraceae,Matricaria discoidea
1592,16SrI B,plant,Alberta,Wang & Hiruki 2005,Asteraceae,Calendula of?cinalis
1593,16SrI A,plant,Alberta,Wang & Hiruki 2005,Asteraceae,Chrysanthemum cinerariifolium
1594,16SrI A,plant,Alberta,Khadhair et al 2008,Asteraceae,Sonchus arvensis
1595,16SrI ,plant,Alberta,Khadhair et al 2001,Brassicaceae,Brassica oleracea
1596,16SrI ,plant,Alberta,Petrie 1973,Araliaceae,Brassica campestris
1597,16SrI A,plant,Alberta,Khadhair et al 2001,Brassicaceae,Camelina sativa
1598,16SrI B,plant,Alberta,Khadhair et al 2001,Brassicaceae,Camelina sativa
1599,16SrI A,plant,Alberta,Wang & Hiruki 2005,Brassicaceae,Brassica napus
1600,16SrI B,plant,Alberta,Wang & Hiruki 2005,Brassicaceae,Brassica napus
1601,16SrI B,plant,Alberta,Olivier unpublished,Brassicaceae,Capsella bursa-pastoris
1602,16SrI C,plant,Alberta,Olivier unpublished,Brassicaceae,Capsella bursa-pastoris
1603,16SrI B,plant,Alberta,Khadhair et al 2001,Brassicaceae,Thlaspi arvense
1604,16SrI B,plant,Alberta,Wang & Hiruki 2001a,Brassicaceae,Brassica rapa
1605,16SrI A,plant,Alberta,Wang & Hiruki 2001a,Brassicaceae,Brassica rapa
1606,16SrI A,plant,Alberta,Wang & Hiruki 2005,Amaranthaceae,Spinacia oleracea
1607,16SrI A,plant,Alberta,Wang & Hiruki 2005,Dipsacaceae,Scabiosa atropurpurea
1608,16SrI B,plant,Alberta,Wang & Hiruki 2005,Dipsacaceae,Scabiosa atropurpurea
1609,16SrVI A,plant,Alberta,Hiruki & Wang 2004,Fabaceae,Medicago sativa
1610,16SrI C,plant,Ontario,Lee et al 2004b,Fabaceae,Trifolium hybrid
1611,16SrVI A,plant,Alberta,Hiruki & Wang 2004,Fabaceae,Trifolium hybrid
1612,16SrI ,plant,Alberta,Hiruki & Chen 1978,Fabaceae,Vicia faba
1613,16SrI C,plant,Ontario,Gundersen et al 1996,Fabaceae,Trifolium repens
1614,16SrI A,plant,Ontario,Gundersen et al 1996,Fabaceae,Trifolium repens
1615,16SrIII B,plant,Ontario,Gundersen et al 1996,Fabaceae,Trifolium repens
1616,16SrVI A,plant,Ontario,Gundersen et al 1996,Fabaceae,Trifolium repens
1617,16SrI C,plant,Ontario,Lee et al 2004b,Fabaceae,Trifolium pratense
1618,16SrIII B,plant,Ontario,Lee et al 1993,Fabaceae,Trifolium pratense
1619,16SrI A,plant,Alberta,Wang & Hiruki 2005,Lamiaceae,Monarda fistulosa
1620,16SrI B,plant,Alberta,Wang & Hiruki 2005,Lamiaceae,Monarda fistulosa
1621,16SrI A,plant,Alberta,Wang & Hiruki 2005,Liliaceae,Asparagus officinalis
1622,16SrI ,plant,Alberta,Khadhair et al 2001,Amaryllidaceae,Allium sativum
1623,16SrI ,plant,Alberta,Khadhair et al 2001,Amaryllidaceae,Allium cepa
1624,16SrI ,plant,Ontario,Westdal & Richardson 1969,Linaceae,Linum usitatissimum
1625,16SrVII ,plant,Ontario,Sinclair & Griffiths 1994,Oleaceae,Syringa reticulata
1626,16SrVII ,plant,Ontario,Sinclair et al 1990,Oleaceae,Fraxinus nigra
1627,16SrVII ,plant,Ontario,Sinclair et al 1990,Oleaceae,Fraxinus quadrangulata
1628,16SrVII ,plant,Canada,Sinclair & Griffiths 1994,Oleaceae,Fraxinus excelsior
1629,16SrVII A,plant,Ontario,Griffiths et al 1999,Oleaceae,Fraxinus pennsylvanica
1630,16SrVII A,plant,Ontario,Griffiths et al 1999,Oleaceae,Syringa x josiflexa
1631,16SrVII ,plant,Ontario,Hibben et al 1991,Oleaceae,Syringa x prestonia
1632,16SrVII ,plant,British Columbia,Sinclair & Griffiths 1994,Oleaceae,Fraxinus latifolia
1633,16SrVII A,plant,Canada,Griffiths et al 1999,Oleaceae,Fraxinus americana
1634,16SrI A,plant,Alberta,Wang & Hiruki 2005,Onagraceae,Clarkia unguiculata
1635,16SrI ,plant,Alberta,Hwang et al 1998,Onagraceae,Oenothera biennis
1636,16SrI A,plant,Alberta,Wang & Hiruki 2005,Papaveraceae,Eschscholzia californica
1637,16SrI ,plant,Manitoba,Westdal & Richardson 1969,Plantaginaceae,Plantago major
1638,16SrI ,plant,Alberta,Chang et al 1996,Plumbaginaceae,Limonium gerberi
1639,16SrI A,plant,Alberta,Chang et al 2004b,Plumbaginaceae,Limonium suworowii
1640,16SrI B,plant,Saskatchewan,Olivier unpublished,Poaceae,Hordeum vulgare
1641,16SrI B,plant,Saskatchewan,Olivier unpublished,Poaceae,Bromus sp.
1642,16SrI B,plant,Saskatchewan,Olivier unpublished,Poaceae,Triticum aestivum
1643,16SrI ,plant,Ontario,Whitcomb & Tully 1979,Poaceae,Triticum durum
1644,16SrI ,plant,Ontario,Westdal & Richardson 1969,Poaceae,Avena sativa
1645,16SrI ,plant,Ontario,Westdal & Richardson 1969,Poaceae,Triticum turgidum
1646,16SrI ,plant,Ontario,Westdal & Richardson 1969,Poaceae,Bromus secalinus
1647,16SrI ,plant,Ontario,Westdal & Richardson 1969,Poaceae,Triticosecale rimpaui
1648,16SrI ,plant,Ontario,Westdal & Richardson 1969,Poaceae,Avena fatua
1649,16SrII C,plant,Alberta,Wang & Hiruki 2005,Rosaceae,Prunus virginiana
1650,16SrIII A,plant,Saskatchewan,Guo et al 1996,Rosaceae,Prunus virginiana
1651,16SrI C,plant,Ontario,Lee et al 2004b,Rosaceae,Fragaria x ananassa
1652,16SrVI B,plant,Canada,Jomantiene et al 1997,Rosaceae,Fragaria x ananassa
1653,16SrIII A,plant,Ontario,Wang & Hiruki 2005,Rosaceae,Prunus persicae
1654,16SrX C,plant,British Columbia,Seemuller & Schneider 2004,Rosaceae,Pyrus sp.
1655,16SrIII A,plant,Alberta,Wang & Hiruki 2005,Rosaceae,Prunus pensylvanica
1656,16SrVI ,plant,Alberta,Hiruki & Wang 1999,Rosaceae,Dasiphora fruticosa
1657,16SrVI B,plant,Canada,Jomantiene et al 1999,Rosaceae,Fragaria virginiana
1658,16SrI B,plant,Alberta,Wang & Hiruki 2005,Rutaceae,Dictamnus albus
1659,16SrI A,plant,Alberta,Wang & Hiruki 2005,Salicaceae,Populus sp.
1660,16SrI B,plant,Alberta,Wang & Hiruki 2005,Salicaceae,Salix sp.
1661,16SrVI A,plant,Alberta,Khadhair & Hiruki 1995,Salicaceae,Salix sp.
1662,16SrI ,plant,Ontario,Westdal & Richardson 1969,Solanaceae,Nicotiana rustica
1663,16SrVI A,plant,Ontario,Hiruki & Wang 2004,Solanaceae,Nicotiana rustica
1664,16SrI A,plant,Alberta,Wang & Hiruki 2005,Solanaceae,Capsicum annuum
1665,16SrI A,plant,Alberta,Khadhair et al 2003,Solanaceae,Solanum tuberosum
1666,16SrVI A,plant,Alberta,Khadhair et al 2003,Solanaceae,Solanum tuberosum
1667,16SrI A,plant,Alberta,Wang & Hiruki 2005,Solanaceae,Petunia hybrida
1668,16SrV A,plant,Ontario,Lee et al 2004c,Ulmaceae,Ulmus procera
1669,16SrI A,plant,Alberta,Khadhair et al 2008,Caprifoliaceae,Valeriana officinalis
1670,16SrI B,plant,Canada,Olivier et al 2014,Vitaceae,Vitis vinifera
1671,16SrI A,plant,Canada,Olivier et al 2014,Vitaceae,Vitis vinifera
1672,16SrI C,plant,Canada,Olivier et al 2014,Vitaceae,Vitis vinifera
1673,16SrI A,plant,Ontario,Olivier et al 2007,Vitaceae,Vitis vinifera
1674,16SrXII A,plant,Ontario,Rott et al 2007,Vitaceae,Vitis vinifera
1675,16SrI A,plant,Alberta,Wang & Hiruki 2005,Zingiberaceae,Alpinia zerumbet
1676,16SrV ,plant,Veneto,Bianco et al 1996,Vitaceae,Vitis vinifera
1677,16SrXII A,plant,Veneto,Bianco et al 1996,Vitaceae,Vitis vinifera
1678,16SrI ,plant,Sri Lanka,Abeysinghe et al 2014,Caricaceae,Carica papaya
1679,16SrI ,plant,Cuba,Acosta et al 2011,Caricaceae,Carica papaya
1680,16SrXII ,plant,Taiwan,Bau et al 2011,Caricaceae,Carica papaya
1681,16SrXII B,plant,Australia,Getachu et al 2007,Fabaceae,Medicago sativa
1682,16SrXII B,plant,Australia,Magarey et al 2006,Amaranthaceae,Maireana brevifoilia
1683,16SrXII B,plant,Australia,Bayliss et al 2005,Paulowniaceae,Paulownia fortunei
1684,16SrXII B,plant,Australia,Habili et al 2007,Hamamelidaceae,Liquidambar styraciflua
1685,16SrXII B,plant,Australia,Magarey et al 2006,Euphorbiaceae,Euphorbia terracina
1686,16SrXII B,plant,Australia,Magarey et al 2006,Amaranthaceae,Enchylaena tomentosa
1687,16SrXII B,plant,Australia,Magarey et al 2006,Amaranthaceae,Einardia nutans
1688,16SrXII B,plant,Israel,Gera et al 2005,Caricaceae,Carica papaya
1689,16SrII D,plant,Australia,Seemuller et al 1998,Caricaceae,Carica papaya
1690,16SrXII B,plant,Australia,Seemuller et al 1998,Caricaceae,Carica papaya
1691,16SrII D,plant,India,Rao et al 2011,Caricaceae,Carica papaya
1692,16SrI A,plant,Virginia,Davis et al 1998,Vitaceae,Vitis vinifera
1693,16SrIII I,plant,Virginia,Davis et al 1998,Vitaceae,Vitis vinifera
1694,16SrXII B,plant,Australia,Padovan et al 2000,Rosaceae,Fragaria x ananassa
1695,16SrXII B,plant,Australia,Saqib et al 2006,Fabaceae,Vigna unguiculata
1696,16SrXII B,plant,Australia,Saqib et al 2006,Solanaceae,Lycopersicon esculentum
1697,16SrII D,plant,Australia,Schneider et al 1999,Amaranthaceae,Ptilotus distans
1698,16SrXII B,plant,Australia,Schneider et al 1999,Asteraceae,Cyanthillium cinereum
1699,16SrII D,plant,Australia,Schneider et al 1999,Asteraceae,Emilia sonchifolia
1700,16SrII D,plant,Australia,Davis et al 2003,Cleomaceae,Cleome viscosa
1701,16SrXII B,plant,Katherine,Schneider et al 1999,Cleomaceae,Cleome viscosa
1702,16SrXII B,plant,Australia,Schneider et al 1999,Fabaceae,Senna obtusifolia
1703,16SrII ,plant,Australia,Schneider et al 1999,Convolvulaceae,Bonamia pannosa
1704,16SrII D,plant,Australia,Davis et al 1997,Cucurbitaceae,Cucurbita maxima
1705,16SrXII B,plant,Australia,Schneider et al 1999,Cucurbitaceae,Cucurbita maxima
1706,16SrI C,plant,Italy,Seemuller et al 1998,Euphorbiaceae,Euphorbia pulcherrima
1707,16SrI B,plant,Italy,Seemuller et al 1998,Euphorbiaceae,Euphorbia pulcherrima
1708,16SrIII ,plant,United States,Seemuller et al 1998,Euphorbiaceae,Euphorbia pulcherrima
1709,16SrIII ,plant,Australia,Schneider et al 1999,Euphorbiaceae,Euphorbia pulcherrima
1710,16SrXII B,plant,Australia,Schneider et al 1999,Phyllanthaceae,Phyllanthus maderaspanatus
1711,16SrXII B,plant,Australia,Schneider et al 1999,Fabaceae,Aeschynomene indica
1712,16SrXII B,plant,Australia,Schneider et al 1999,Fabaceae,Aphyllodium sp.
1713,16SrXII B,plant,Mareeba,Schneider et al 1999,Fabaceae,Arachis pintoii
1714,16SrXII B,plant,Katherine,Schneider et al 1999,Fabaceae,Cajanus marmoratus
1715,16SrXII B,plant,Katherine,Schneider et al 1999,Fabaceae,Crotalaria brevis
1716,16SrXII B,plant,Australia,Schneider et al 1999,Fabaceae,Crotalaria crispata
1717,not characterized ,plant,Australia,Schneider et al 1999,Fabaceae,Crotalaria spectabilis
1718,16SrXII B,plant,Mareeba,Schneider et al 1999,Fabaceae,Desmodium intortum
1719,16SrII ,plant,Katherine,Schneider et al 1999,Fabaceae,Galactia tenuiflora
1720,16SrXII B,plant,Katherine,Schneider et al 1999,Fabaceae,Indigofera colutea
